_n,_x,_y,_dx,_dy
0,127.0,313.0,318.80597014925377,5.013698630136986
1,180.0,322.0,355.7213930348259,4.767123287671232
2,232.0,329.0,391.94029850746267,4.575342465753424
3,288.0,336.0,430.9452736318408,4.383561643835616
4,335.0,340.0,463.681592039801,4.273972602739725
5,373.0,347.0,490.1492537313433,4.082191780821917
6,429.0,356.0,529.1542288557214,3.8356164383561637
7,478.0,362.0,563.2835820895523,3.6712328767123292
8,528.0,368.0,598.1094527363184,3.506849315068493
9,590.0,376.0,641.2935323383085,3.287671232876713
10,655.0,380.0,686.5671641791046,3.178082191780822
11,729.0,386.0,738.1094527363184,3.013698630136986
12,788.0,387.0,779.2039800995026,2.986301369863014
13,872.0,386.0,837.7114427860697,3.013698630136986
14,925.0,384.0,874.6268656716418,3.0684931506849313
15,971.0,383.0,906.6666666666667,3.095890410958903
16,1011.0,381.0,934.5273631840796,3.1506849315068486
