_n,_x,_y,_dx,_dy
0,111.0,359.0,307.1477411960002,3.7700606447494422
1,165.0,368.0,344.7096952689617,3.5194017600656604
2,237.0,378.0,394.79506738864075,3.2402352833888113
3,295.0,382.0,435.1472273823169,3.126970954356846
4,351.0,383.0,474.1118928105608,3.0963841138114994
5,399.0,382.0,507.51274653175756,3.1212803793716652
6,452.0,378.0,544.3968617841191,3.2284711139482933
7,510.0,373.0,584.7614718785818,3.362910947973189
8,571.0,365.0,627.2176989051815,3.5797546851488775
9,610.0,360.0,654.361685308881,3.7152341434499103
10,662.0,348.0,690.5610450179834,4.042661073366467
11,711.0,334.0,724.6757045176079,4.425297524052711
12,762.0,320.0,760.1820086162601,4.807824540604624
13,819.0,304.0,799.8660132010591,5.245068624321737
